,QN08,BX28,QN55,BK50,BX41,QN26,BK68,QN38,QN52,BK44,QN01,BX98,QN07,QN48,BK77,BK41,BK75,QN33,QN44,MN06,BX07,QN62,SI11,QN15,SI08,BX10,BX33,QN37,BK81,QN35,SI37,QN23,QN12,QN46,QN50,BK91,BK95,QN66,QN41,BK09,QN54,SI12,SI28,BX43,BK64,BX55,BK63,SI14,BX06,BK21,BK26,BX22,QN19,BK34,BX03,BX31,QN17,BX29,BX30,BK27,BX05,QN22,QN51,QN02,QN76,BX35,QN28,QN63,BK88,MN19,QN43,QN61,MN04,MN50,BK58,BK96,BK90,BX59,QN10,BK17,BX26,SI45,SI36,MN36,MN34,MN27,MN21,MN31,MN40,MN33,BK33,BK61,BK69,QN25,BK30,BK31,BX01,BX40,BX09,BX49,BK43,BK46,SI99,MN09,MN11,MN17,MN32,QN71,QN98,BK25,BK28,BK29,QN03,QN05,SI24,BX62,BX52,QN68,QN56,QN57,MN12,MN14,QN70,QN72,BX44,BX17,BX36,QN20,QN21,BX14,BK42,QN27,SI01,SI32,BK19,BK23,SI25,SI54,MN13,MN15,BK72,SI05,SI48,BX75,MN24,MN25,BX08,MN03,MN99,QN45,QN06,BK32,BK37,QN34,QN42,BX37,BX46,QN30,QN31,QN18,QN29,BK38,BK35,BK78,BX27,BK83,QN53,BK60,BX34,BX39,BX63,SI35,SI07,SI22,BK79,BK85,BK76,MN20,MN22,MN23,MN01,MN35,QN47,QN49,QN60,QN99,BX13,BX99,BK45,BK82,BK93,BK73,MN28,BK40,BK99
42 South Street,2123.18,1894.39,1872.67,1532.61,1774.19,1567.42,728.46,1834.25,1880.11,1342.24,2012.72,1716.99,2251.97,1921.47,1103.58,839.56,909.34,2342.52,2362.65,1533.61,2142.13,1727.33,2690.13,2924.9,1506.63,2172.86,1550.89,1822.54,1401.82,1819.51,1540.82,1931.07,2726.11,2081.42,1197.5,1282.31,1062.37,2409.78,1854.53,575.09,1772.92,2004.66,1732.31,2028.85,934.11,1799.33,1169.73,1291.12,2000.85,1538.69,1325.21,2004.65,1365.94,849.23,2365.5,2232.03,1603.51,1895.39,1808.62,1194.75,1917.52,1727.59,1915.66,2101.85,1921.22,1677.08,1358.83,1298.91,996.71,748.28,2268.61,1954.19,1523.7,525.83,1361.84,1165.8,959.36,1928.38,2168.18,1445.9,1538.99,1914.59,1867.88,1643.09,1303.77,398.38,654.39,800.61,937.44,1092.26,631.98,1089.05,904.71,1557.61,1002.9,1005.11,1764.87,1782.47,1840.71,2093.29,1291.24,1077.06,2415.97,1433.1,1329.89,836.79,987.47,1330.51,2057.17,1222.95,1123.49,1232.41,2158.33,2321.9,1857.41,2187.72,1957.89,1114.47,1726.8,1772.85,1220.31,1067.33,1276.64,1425.02,2272.71,1799.58,1658.0,1292.42,1420.64,1632.05,1037.57,1556.76,2712.86,2578.57,1457.91,1337.69,2110.36,2272.54,914.93,927.97,744.16,2056.41,2555.08,1748.68,373.3,131.78,1731.72,1414.85,1081.54,2222.24,1883.23,703.83,723.23,2103.26,1998.94,2091.05,1943.98,1133.01,1101.39,1470.32,1296.02,529.09,1120.99,1026.07,1576.16,1427.95,1599.98,1196.65,1539.64,1409.87,1487.36,1817.33,1642.41,1817.25,1240.66,1448.36,920.31,687.51,602.51,654.55,1740.59,1622.42,2053.34,1941.36,1759.67,1834.51,2389.34,2294.33,1617.57,1452.09,1571.05,723.32,446.34,657.93,1512.5
49 Beekman Street,2130.2,1874.63,1776.72,1587.44,1754.43,1574.43,614.23,1841.26,1887.12,1451.59,1991.95,1697.22,2257.47,1928.49,1007.63,948.91,803.05,2349.54,2369.66,1466.93,2122.37,1734.34,2571.5,2955.34,1615.98,2153.1,1531.13,1829.55,1300.05,1826.52,1650.17,1938.08,2798.33,2088.43,1204.51,1337.14,1149.12,2464.61,1861.54,460.86,1676.97,1886.03,1613.67,2009.09,819.87,1779.56,1055.5,1400.46,1981.08,1648.04,1434.56,1984.88,1269.99,958.57,2345.73,2212.26,1610.52,1875.63,1788.86,1304.1,1897.76,1734.6,1922.67,2108.86,1928.24,1657.32,1365.84,1305.92,1106.05,728.52,2275.62,1918.01,1503.94,506.06,1416.68,1220.64,966.38,1908.61,2277.52,1555.24,1519.22,2023.94,1977.22,1600.83,1284.01,372.51,628.52,780.85,917.67,1072.5,669.98,974.82,790.47,1564.62,1112.24,1114.46,1745.11,1762.71,1820.95,2073.53,1400.58,1186.4,2525.31,1365.72,1310.13,817.03,967.71,1310.74,2069.69,1332.29,1232.83,1341.75,2213.17,2376.73,1966.76,2167.96,1938.13,1094.71,1706.44,1827.69,1186.28,1047.56,1256.88,1405.26,2252.95,1779.81,1638.24,1235.57,1398.47,1612.28,1146.92,1563.77,2716.1,2459.94,1567.25,1447.03,2219.71,2381.89,796.3,846.29,629.92,1950.15,2543.07,1728.92,254.67,254.87,1711.96,1395.09,1061.77,2229.25,1890.24,813.18,683.13,2110.27,2005.95,2071.28,1924.22,1140.02,1081.62,1477.33,1303.03,414.85,1020.95,930.12,1556.39,1332.01,1504.03,1102.37,1519.88,1390.11,1467.6,1926.67,1751.76,1926.6,1126.42,1371.64,927.33,667.75,576.65,535.92,1720.82,1602.65,2060.36,1948.38,1663.72,1738.56,2369.58,2274.57,1672.4,1506.92,1625.88,730.33,463.45,767.28,1567.33
100 Duane Street,2104.71,1935.64,1811.35,1614.04,1815.43,1548.94,648.85,1815.77,1861.63,1423.68,1994.24,1758.23,2233.49,1903.0,1042.26,920.99,837.67,2324.05,2344.18,1396.28,2183.37,1708.85,2456.91,2929.85,1588.07,2214.11,1592.13,1804.07,1334.68,1801.03,1622.25,1912.6,2807.55,2062.94,1179.02,1363.74,1143.81,2466.29,1836.05,495.48,1711.6,1771.43,1499.08,2070.09,854.5,1840.57,1090.12,1372.55,2042.09,1620.13,1406.64,1989.55,1304.62,930.66,2406.74,2273.27,1585.03,1936.64,1849.86,1276.19,1958.76,1709.11,1897.18,2083.38,1902.75,1718.33,1340.36,1280.43,1078.14,789.52,2250.14,1935.71,1474.89,567.07,1443.28,1247.24,940.89,1969.62,2249.61,1527.33,1580.23,1996.02,1949.31,1530.17,1345.01,282.7,517.05,841.86,978.68,1133.51,704.6,1009.44,825.1,1539.13,1084.33,1086.55,1806.11,1823.72,1881.96,2134.54,1372.67,1158.49,2497.4,1295.07,1371.13,762.04,1028.72,1371.75,2044.2,1304.38,1204.92,1313.84,2202.64,2363.51,1938.84,2228.96,1999.14,1146.17,1741.07,1854.29,1115.62,999.92,1317.88,1466.26,2313.96,1840.82,1699.24,1270.2,1402.16,1673.29,1119.0,1538.28,2601.51,2345.35,1539.34,1419.12,2191.8,2353.98,720.96,775.64,664.55,1835.56,2428.48,1789.92,140.07,308.38,1772.97,1456.09,1122.78,2203.76,1864.75,785.27,717.76,2084.79,1980.46,2132.29,1985.22,1114.54,1085.88,1451.85,1277.55,449.48,1055.58,964.75,1617.4,1366.63,1538.65,1137.0,1580.88,1451.12,1528.61,1898.5,1723.85,1819.22,1161.04,1406.26,901.84,709.91,465.18,421.33,1781.83,1663.66,2034.87,1922.89,1698.34,1773.19,2430.58,2335.58,1699.01,1533.52,1652.48,704.84,452.35,739.37,1593.94
14 N. Moore Street,2073.11,2020.57,1821.87,1630.87,1900.37,1517.34,649.39,1784.17,1830.03,1440.5,1962.64,1843.16,2201.89,1871.4,1052.77,937.82,848.19,2292.45,2312.57,1377.65,2268.3,1677.25,2413.31,2898.25,1604.9,2299.04,1677.07,1772.46,1333.36,1769.43,1639.08,1880.99,2824.38,2031.34,1147.42,1380.57,1160.64,2434.69,1804.45,580.42,1722.11,1727.84,1455.49,2155.03,853.19,1925.5,1088.81,1389.38,2127.02,1636.96,1423.47,1970.92,1315.13,947.49,2491.67,2358.2,1553.43,1934.34,1934.8,1293.02,2043.7,1677.51,1865.58,2051.77,1871.15,1803.26,1308.76,1248.83,1094.97,790.26,2218.53,1904.11,1456.26,626.72,1460.1,1264.07,909.29,2054.55,2266.44,1544.16,1665.16,2012.85,1966.14,1511.54,1421.56,251.09,485.45,926.79,982.74,1210.05,730.24,1008.13,823.78,1507.53,1101.16,1103.37,1891.05,1908.65,1966.89,2219.47,1389.5,1175.32,2514.23,1276.44,1377.5,701.49,1113.65,1373.95,2012.6,1321.21,1221.75,1330.67,2171.04,2331.91,1955.67,2313.9,2084.07,1114.56,1751.59,1871.11,1096.99,981.29,1338.84,1487.22,2398.89,1925.75,1784.18,1242.34,1370.56,1758.22,1135.83,1506.68,2557.92,2301.75,1556.17,1435.95,2208.63,2370.81,669.85,757.01,675.07,1791.96,2384.89,1874.86,79.53,393.31,1857.9,1541.03,1105.24,2172.16,1833.15,802.1,802.69,2053.18,1948.86,2217.22,2070.16,1082.94,1054.28,1420.24,1245.94,487.75,1066.09,975.26,1702.33,1377.15,1549.17,1143.95,1665.82,1536.05,1613.54,1854.91,1688.52,1775.63,1159.73,1416.78,870.24,678.31,433.58,360.78,1796.18,1654.71,2003.27,1891.29,1708.86,1783.7,2515.52,2420.51,1715.83,1550.35,1669.31,673.24,432.2,756.19,1610.76
75 Canal Street,1896.78,1809.95,1646.27,1548.42,1689.74,1341.01,578.84,1607.85,1653.7,1590.56,1786.32,1632.54,2025.56,1695.07,877.18,1087.88,682.94,2116.12,2136.25,1449.16,2057.68,1500.93,2548.2,2721.93,1768.85,2088.42,1466.44,1596.14,1175.42,1593.1,1789.14,1704.67,2679.64,1855.01,971.09,1371.03,1183.01,2258.37,1628.13,564.35,1546.52,1862.72,1590.37,1944.41,782.64,1714.88,1018.26,1539.43,1916.4,1787.01,1573.53,1920.2,1139.54,1097.55,2281.05,2147.58,1377.11,1810.95,1724.17,1443.07,1833.07,1501.19,1689.25,1875.45,1694.82,1592.64,1132.43,1072.51,1245.02,663.83,2042.21,1727.78,1439.25,441.38,1450.57,1254.53,732.96,1843.93,2322.11,1694.21,1454.54,2176.8,2116.19,1558.64,1219.32,129.55,421.2,716.17,852.99,1007.82,783.57,937.58,753.23,1331.2,1251.22,1253.43,1680.43,1698.03,1756.27,2008.85,1491.69,1325.38,2678.19,1348.66,1245.44,703.28,903.03,1246.06,1836.27,1471.26,1371.8,1480.72,1994.72,2155.59,2105.96,2103.27,1873.45,1030.02,1575.99,1708.99,1135.87,982.88,1192.19,1340.57,2188.27,1715.13,1573.56,1066.02,1194.24,1547.6,1238.03,1330.35,2692.8,2436.64,1706.22,1586.01,2372.58,2534.76,789.22,843.41,523.83,1926.85,2519.77,1664.23,288.43,350.91,1647.28,1330.41,997.09,1995.84,1656.82,952.15,773.53,1876.86,1772.53,2006.6,1859.53,906.61,877.95,1243.92,1069.62,417.2,894.59,799.67,1491.71,1201.55,1373.57,1073.4,1455.19,1325.43,1402.92,1989.79,1823.41,1910.51,1022.96,1241.18,693.91,603.07,369.33,480.16,1656.14,1537.97,1826.94,1714.96,1533.27,1608.11,2304.89,2209.89,1706.3,1467.28,1586.86,496.91,240.24,906.25,1601.23
25 Pitt Street,1881.48,1751.58,1630.97,1533.11,1631.38,1325.71,669.71,1592.54,1638.4,1676.72,1771.01,1574.17,2010.26,1679.77,861.87,1195.82,667.63,2100.82,2120.94,1390.8,1999.32,1485.62,2648.61,2706.62,1862.9,2030.05,1408.08,1580.83,1160.11,1577.8,1897.08,1689.36,2664.33,1839.71,955.79,1418.39,1248.66,2243.06,1612.82,691.57,1531.21,1963.14,1690.78,1886.04,820.19,1656.51,1047.32,1647.38,1858.03,1894.96,1681.47,1861.83,1124.23,1205.49,2222.68,2089.22,1361.8,1752.58,1665.81,1551.02,1774.71,1485.88,1673.95,1860.14,1679.52,1534.27,1117.13,1057.2,1352.97,605.47,2026.9,1712.48,1380.89,383.01,1497.92,1291.32,717.66,1785.56,2348.47,1802.16,1396.17,2270.85,2224.14,1500.28,1160.96,229.96,452.37,657.8,794.62,949.45,910.79,966.64,765.12,1315.9,1359.16,1361.38,1622.06,1639.66,1697.9,1950.48,1557.35,1433.32,2772.23,1290.29,1187.08,693.98,844.66,1187.69,1820.96,1579.21,1479.75,1588.67,1979.41,2140.28,2206.38,2044.91,1815.08,971.66,1560.69,1693.68,1077.5,924.51,1133.83,1282.21,2129.9,1656.76,1515.19,1050.71,1178.93,1489.23,1303.68,1315.05,2793.21,2537.05,1814.17,1693.95,2466.63,2628.81,822.62,785.16,508.52,2027.26,2620.19,1605.87,413.17,458.81,1588.91,1272.04,938.72,1980.53,1641.52,1060.1,900.75,1861.55,1757.23,1948.23,1801.17,891.3,862.65,1228.61,1054.31,544.42,879.28,784.36,1433.34,1186.25,1358.27,1102.45,1396.83,1267.06,1344.55,2090.21,1923.82,2010.92,1007.65,1225.88,678.61,544.7,382.13,562.86,1597.78,1479.6,1811.64,1699.66,1517.96,1592.8,2246.53,2151.52,1753.65,1451.97,1571.56,481.61,101.92,1014.2,1648.58
222 East 2 Street,1925.06,1728.54,1674.55,1576.7,1608.33,1369.29,713.29,1636.13,1681.98,1720.31,1814.6,1551.13,2053.84,1723.35,905.46,1267.48,711.22,2144.4,2164.53,1367.75,1976.27,1529.21,2655.14,2750.21,1940.23,2007.01,1385.03,1624.42,1203.7,1621.38,1968.74,1732.95,2707.92,1883.29,999.38,1461.97,1292.25,2286.65,1656.41,743.95,1574.8,1969.66,1697.31,1862.99,863.77,1633.47,1090.91,1719.04,1834.99,1966.61,1753.13,1838.79,1167.82,1277.15,2199.64,2066.17,1405.39,1729.54,1642.76,1622.67,1751.66,1529.47,1717.54,1903.73,1723.1,1511.23,1160.71,1100.79,1424.62,582.42,2070.49,1756.06,1357.84,345.24,1541.51,1334.9,761.24,1762.52,2392.06,1873.81,1373.13,2348.18,2295.79,1477.23,1137.91,282.34,347.66,634.76,771.58,926.41,963.17,1010.23,808.71,1359.48,1430.82,1433.03,1599.02,1616.62,1674.86,1927.44,1600.94,1504.98,2849.56,1267.24,1164.03,629.73,821.62,1164.65,1864.55,1650.87,1551.41,1660.33,2023.0,2183.87,2212.9,2021.86,1792.04,948.61,1604.27,1737.27,1054.46,901.47,1110.78,1259.16,2106.86,1633.72,1492.15,1094.3,1222.52,1466.19,1347.27,1358.64,2799.74,2543.58,1885.82,1765.61,2543.96,2660.28,717.91,762.12,552.11,2033.79,2626.71,1582.82,435.6,583.48,1565.87,1248.99,915.68,2024.12,1685.11,1131.75,953.13,1905.14,1800.81,1925.19,1778.12,934.89,906.23,1272.2,1097.9,596.8,922.87,827.95,1410.3,1229.83,1401.85,1146.04,1373.78,1244.02,1321.51,2096.73,1930.35,2017.45,1051.24,1269.46,722.19,503.38,277.42,470.2,1574.73,1456.56,1855.22,1743.24,1561.55,1636.39,2223.48,2128.48,1797.24,1495.56,1615.15,525.2,243.76,1085.85,1692.17
340 East 14 Street,1876.57,1601.29,1626.81,1662.97,1481.08,1375.4,799.56,1587.63,1640.11,1805.31,1766.1,1423.88,2005.35,1674.86,991.73,1302.63,797.49,2095.91,2116.03,1188.43,1849.02,1480.71,2635.96,2701.71,1969.7,1879.76,1257.78,1575.92,1289.97,1572.89,2003.89,1762.56,2794.19,1834.8,1046.72,1548.24,1378.52,2238.15,1607.91,794.67,1631.46,1950.49,1678.14,1735.74,950.04,1506.22,1177.18,1754.18,1707.74,2001.76,1788.28,1711.54,1254.09,1312.3,2072.39,1938.92,1356.89,1602.29,1515.51,1657.82,1624.41,1535.57,1723.64,1855.23,1674.61,1383.98,1208.06,1060.83,1459.77,415.73,2021.99,1707.57,1230.59,153.83,1627.78,1421.17,847.51,1635.27,2478.33,1908.96,1245.88,2377.66,2330.94,1322.33,1010.66,351.71,110.92,507.51,643.29,799.16,1013.89,1096.49,894.97,1310.99,1465.96,1468.18,1471.77,1489.37,1547.61,1800.19,1687.21,1540.13,2879.04,1046.87,1036.78,392.99,694.37,999.42,1816.06,1686.01,1586.55,1695.47,1974.5,2135.37,2193.73,1894.61,1664.79,740.03,1690.54,1823.54,828.33,675.34,964.31,1112.69,1979.61,1506.47,1364.9,1153.12,1213.44,1338.94,1433.54,1399.89,2780.56,2524.4,1920.97,1800.76,2573.43,2641.1,481.17,533.13,638.38,2014.61,2607.54,1455.57,416.43,654.95,1438.62,1121.74,765.79,1975.62,1636.61,1166.9,1003.85,1856.64,1752.32,1797.94,1650.87,925.81,726.95,1223.7,1118.55,647.53,1009.14,914.22,1283.05,1316.1,1488.12,1232.31,1246.53,1116.77,1194.26,2077.56,1911.17,1998.28,1137.51,1355.73,781.02,303.78,129.84,314.08,1447.48,1329.31,1884.83,1772.85,1586.08,1690.85,2096.23,2001.23,1883.51,1581.83,1701.41,611.46,387.74,1121.0,1778.44
253 Lafayette Street,2030.47,1843.17,1779.96,1682.11,1722.97,1474.7,667.32,1741.53,1787.39,1586.37,1920.01,1665.76,2159.25,1828.76,1010.86,1083.69,816.63,2249.81,2269.94,1366.94,2090.91,1634.61,2417.02,2855.61,1750.76,2121.64,1499.67,1729.83,1309.1,1726.79,1784.95,1838.36,2813.32,1988.7,1104.78,1459.51,1271.48,2392.06,1761.81,650.09,1680.21,1731.55,1459.19,1977.63,871.11,1748.1,1106.73,1535.24,1949.62,1782.82,1569.34,1953.42,1273.22,1093.35,2314.27,2180.8,1510.79,1844.17,1757.4,1438.88,1866.3,1634.87,1822.94,2009.14,1828.51,1625.86,1266.12,1206.19,1240.83,594.24,2175.9,1861.47,1445.56,430.7,1539.04,1343.0,866.65,1877.15,2410.59,1690.02,1487.76,2158.72,2112.0,1500.84,1237.85,228.52,289.43,749.39,821.8,1026.34,859.21,1026.05,841.71,1464.89,1247.03,1249.24,1713.65,1731.25,1789.49,2042.07,1535.36,1321.19,2660.1,1225.39,1216.57,571.51,936.25,1177.93,1969.96,1467.07,1367.61,1476.53,2128.4,2289.27,1974.79,2136.5,1906.67,918.54,1709.68,1842.68,1006.84,853.85,1142.82,1291.2,2221.49,1748.35,1606.78,1199.71,1327.93,1580.82,1281.7,1464.04,2561.62,2305.46,1702.03,1581.81,2354.49,2422.16,597.77,711.64,657.52,1795.67,2388.6,1697.46,197.49,471.07,1680.5,1363.63,944.31,2129.53,1790.51,947.96,862.0,2010.55,1906.22,2039.82,1892.76,1040.3,905.46,1377.61,1203.31,505.67,1028.27,933.35,1524.93,1335.24,1507.26,1161.87,1488.42,1358.65,1436.14,1858.62,1692.23,1779.33,1156.65,1374.87,827.6,482.29,237.56,288.7,1689.36,1571.19,1960.63,1848.65,1666.95,1741.8,2338.12,2243.11,1794.77,1600.96,1720.55,630.6,406.88,902.06,1689.7
42 Great Jones Street,1974.1,1762.19,1724.34,1704.08,1641.99,1472.94,706.56,1685.17,1737.65,1660.04,1863.64,1584.79,2102.89,1772.4,1032.83,1157.36,838.59,2193.45,2213.57,1285.97,2009.93,1578.25,2490.69,2799.25,1824.43,2040.67,1418.69,1673.46,1331.07,1670.43,1858.62,1860.09,2835.29,1932.34,1126.75,1498.75,1310.72,2335.69,1705.45,692.06,1702.17,1805.22,1532.87,1896.65,910.35,1667.13,1145.98,1608.92,1868.65,1856.49,1643.01,1872.45,1295.19,1167.03,2233.3,2099.83,1454.43,1763.19,1676.42,1512.55,1785.32,1633.11,1821.18,1952.77,1772.15,1544.89,1288.09,1158.36,1314.5,513.27,2119.53,1805.11,1364.58,349.73,1578.28,1382.24,888.62,1796.18,2449.83,1763.69,1406.79,2232.39,2185.67,1419.87,1156.87,260.75,208.46,668.42,740.83,945.36,911.28,1065.3,880.95,1408.53,1320.7,1322.91,1632.67,1650.28,1708.52,1961.09,1609.04,1394.86,2733.77,1144.41,1135.59,490.53,855.28,1096.95,1913.59,1540.74,1441.28,1550.2,2072.04,2232.91,2048.46,2055.52,1825.69,837.57,1731.65,1864.64,925.87,772.88,1061.84,1210.23,2140.52,1667.38,1525.8,1221.67,1310.97,1499.85,1355.37,1486.01,2635.29,2379.13,1775.7,1655.49,2428.16,2495.83,544.24,630.66,679.48,1869.34,2462.27,1616.48,271.16,544.74,1599.53,1282.65,863.33,2073.16,1734.15,1021.63,901.24,1954.18,1849.86,1958.85,1811.78,1023.35,824.48,1321.24,1216.08,544.92,1050.24,955.32,1443.96,1357.21,1529.23,1201.11,1407.44,1277.68,1355.17,1932.29,1765.9,1853.01,1178.61,1396.84,849.57,401.31,156.58,243.55,1608.39,1490.22,1982.37,1870.39,1683.62,1763.76,2257.14,2162.14,1834.01,1622.93,1742.52,652.57,428.85,975.73,1728.94
