,shift,station,vehicle,neighbor,value
0,9 AM to 6 PM,1160 Ogden Ave.,engines,BX28,1.0
1,9 AM to 6 PM,143-15 Rockaway Blvd.,engines,QN55,1.0
2,9 AM to 6 PM,515 West 181 Street,engines,BX41,1.0
3,9 AM to 6 PM,86-53 Grand Avenue,engines,QN26,1.0
4,9 AM to 6 PM,701 Park Avenue,engines,BK77,1.0
5,9 AM to 6 PM,252 Lorraine St.,engines,BK41,1.0
6,9 AM to 6 PM,218-44 97th Avenue,engines,QN44,1.0
7,9 AM to 6 PM,14 Brighton Avenue,engines,SI08,1.0
8,9 AM to 6 PM,330 East 150th Street,engines,BX33,1.0
9,9 AM to 6 PM,480 Sheffield Ave.,engines,BK81,1.0
10,9 AM to 6 PM,489 Saint John's Place,engines,BK95,1.0
11,9 AM to 6 PM,66-44 Myrtle Avenue,engines,QN54,1.0
12,9 AM to 6 PM,409 State Street,engines,BK64,1.0
13,9 AM to 6 PM,489 Saint John's Place,engines,BK63,1.0
14,9 AM to 6 PM,1352 Saint John's Place,engines,BK63,1.0
15,9 AM to 6 PM,74 Broad Street,engines,SI14,1.0
16,9 AM to 6 PM,2928 Briggs Ave.,engines,BX06,1.0
17,9 AM to 6 PM,1635 E. 14th Street,engines,BK26,1.0
18,9 AM to 6 PM,29 Vermilyea Avenue,engines,BX22,1.0
19,9 AM to 6 PM,32 Ralph Ave.,engines,QN19,1.0
20,9 AM to 6 PM,1518 Williamsbridge Road,engines,BX03,1.0
21,9 AM to 6 PM,515 West 181 Street,engines,BX29,1.0
22,9 AM to 6 PM,460 Cross Bronx Expressway,engines,BX30,1.0
23,9 AM to 6 PM,1157 79th St.,engines,BK27,1.0
24,9 AM to 6 PM,2510 Neptune Ave.,engines,BK27,1.0
25,9 AM to 6 PM,3025 Bailey Ave.,engines,BX05,1.0
26,9 AM to 6 PM,36-18 Francis Lewis Blvd.,engines,QN22,1.0
27,9 AM to 6 PM,61-20 Utopia Parkway,engines,QN51,1.0
28,9 AM to 6 PM,720 Melrose Ave.,engines,BX35,1.0
29,9 AM to 6 PM,30-89 21st Street,engines,QN63,1.0
30,9 AM to 6 PM,1307 Prospect Ave.,engines,BK88,1.0
31,9 AM to 6 PM,5113 4th Avenue,engines,BK88,1.0
32,9 AM to 6 PM,64-04 Springfield Blvd.,engines,QN43,1.0
33,9 AM to 6 PM,257 Beach 116th Street,engines,QN10,1.0
34,9 AM to 6 PM,2282 Third Avenue,engines,BX26,1.0
35,9 AM to 6 PM,1592 Richmond Road,engines,SI45,1.0
36,9 AM to 6 PM,503 West 139 Street,engines,MN36,1.0
37,9 AM to 6 PM,618 East 138 Street,engines,MN34,1.0
38,9 AM to 6 PM,5113 4th Avenue,engines,BK33,1.0
39,9 AM to 6 PM,25 Rockaway Ave.,engines,BK61,1.0
40,9 AM to 6 PM,61-20 Utopia Parkway,engines,QN25,1.0
41,9 AM to 6 PM,1635 E. 14th Street,engines,BK30,1.0
42,9 AM to 6 PM,8653 18th Ave.,engines,BK31,1.0
43,9 AM to 6 PM,518 West 170 Street,engines,BX01,1.0
44,9 AM to 6 PM,1226 Seneca Ave.,engines,BX01,1.0
45,9 AM to 6 PM,1901 Sedgwick Ave.,engines,BX01,1.0
46,9 AM to 6 PM,460 Cross Bronx Expressway,engines,BX01,1.0
47,9 AM to 6 PM,1155 Washington Ave.,engines,BX40,1.0
48,9 AM to 6 PM,925 East Tremont Ave.,engines,BX09,1.0
49,9 AM to 6 PM,1689 Story Ave.,engines,BX49,1.0
50,9 AM to 6 PM,1454 Astor Ave.,engines,BX49,1.0
51,9 AM to 6 PM,21 Asch Loop,engines,BX49,1.0
52,9 AM to 6 PM,2225 Belmont Ave.,engines,BX49,1.0
53,9 AM to 6 PM,2429 86th Street,engines,BK43,1.0
54,9 AM to 6 PM,2929 W. 8th Street,engines,BK46,1.0
55,9 AM to 6 PM,207 West 77th Street,engines,MN11,1.0
56,9 AM to 6 PM,215 W 58th Street,engines,MN32,1.0
57,9 AM to 6 PM,41-24 51st Street,engines,QN71,1.0
58,9 AM to 6 PM,2165 Gerritsen Ave.,engines,BK25,1.0
59,9 AM to 6 PM,4210 12th Ave.,engines,BK28,1.0
60,9 AM to 6 PM,8653 18th Ave.,engines,BK29,1.0
