,boro_name,nta
0,Queens,QN08
1,Bronx,BX28
2,Queens,QN55
3,Brooklyn,BK50
4,Bronx,BX41
5,Queens,QN26
6,Brooklyn,BK68
7,Queens,QN38
8,Queens,QN52
9,Brooklyn,BK44
10,Queens,QN01
11,Bronx,BX98
12,Queens,QN07
13,Queens,QN48
14,Brooklyn,BK77
15,Brooklyn,BK41
16,Brooklyn,BK75
17,Queens,QN33
18,Queens,QN44
19,Manhattan,MN06
20,Bronx,BX07
21,Queens,QN62
22,Staten Island,SI11
23,Queens,QN15
24,Staten Island,SI08
25,Bronx,BX10
26,Bronx,BX33
27,Queens,QN37
28,Brooklyn,BK81
29,Queens,QN35
30,Staten Island,SI37
31,Queens,QN23
32,Queens,QN12
33,Queens,QN46
34,Queens,QN50
35,Brooklyn,BK91
36,Brooklyn,BK95
37,Queens,QN66
38,Queens,QN41
39,Brooklyn,BK09
40,Queens,QN54
41,Staten Island,SI12
42,Staten Island,SI28
43,Bronx,BX43
44,Brooklyn,BK64
45,Bronx,BX55
46,Brooklyn,BK63
47,Staten Island,SI14
48,Bronx,BX06
49,Brooklyn,BK21
50,Brooklyn,BK26
51,Bronx,BX22
52,Queens,QN19
53,Brooklyn,BK34
54,Bronx,BX03
55,Bronx,BX31
56,Queens,QN17
57,Bronx,BX29
58,Bronx,BX30
59,Brooklyn,BK27
60,Bronx,BX05
61,Queens,QN22
62,Queens,QN51
63,Queens,QN02
64,Queens,QN76
65,Bronx,BX35
66,Queens,QN28
67,Queens,QN63
68,Brooklyn,BK88
69,Manhattan,MN19
70,Queens,QN43
71,Queens,QN61
72,Manhattan,MN04
73,Manhattan,MN50
74,Brooklyn,BK58
75,Brooklyn,BK96
76,Brooklyn,BK90
77,Bronx,BX59
78,Queens,QN10
79,Brooklyn,BK17
80,Bronx,BX26
81,Staten Island,SI45
82,Staten Island,SI36
83,Manhattan,MN36
84,Manhattan,MN34
85,Manhattan,MN27
86,Manhattan,MN21
87,Manhattan,MN31
88,Manhattan,MN40
89,Manhattan,MN33
90,Brooklyn,BK33
91,Brooklyn,BK61
92,Brooklyn,BK69
93,Queens,QN25
94,Brooklyn,BK30
95,Brooklyn,BK31
96,Bronx,BX01
97,Bronx,BX40
98,Bronx,BX09
99,Bronx,BX49
100,Brooklyn,BK43
101,Brooklyn,BK46
102,Staten Island,SI99
103,Manhattan,MN09
104,Manhattan,MN11
105,Manhattan,MN17
106,Manhattan,MN32
107,Queens,QN71
108,Queens,QN98
109,Brooklyn,BK25
110,Brooklyn,BK28
111,Brooklyn,BK29
112,Queens,QN03
113,Queens,QN05
114,Staten Island,SI24
115,Bronx,BX62
116,Bronx,BX52
117,Queens,QN68
118,Queens,QN56
119,Queens,QN57
120,Manhattan,MN12
121,Manhattan,MN14
122,Queens,QN70
123,Queens,QN72
124,Bronx,BX44
125,Bronx,BX17
126,Bronx,BX36
127,Queens,QN20
128,Queens,QN21
129,Bronx,BX14
130,Brooklyn,BK42
131,Queens,QN27
132,Staten Island,SI01
133,Staten Island,SI32
134,Brooklyn,BK19
135,Brooklyn,BK23
136,Staten Island,SI25
137,Staten Island,SI54
138,Manhattan,MN13
139,Manhattan,MN15
140,Brooklyn,BK72
141,Staten Island,SI05
142,Staten Island,SI48
143,Bronx,BX75
144,Manhattan,MN24
145,Manhattan,MN25
146,Bronx,BX08
147,Manhattan,MN03
148,Manhattan,MN99
149,Queens,QN45
150,Queens,QN06
151,Brooklyn,BK32
152,Brooklyn,BK37
153,Queens,QN34
154,Queens,QN42
155,Bronx,BX37
156,Bronx,BX46
157,Queens,QN30
158,Queens,QN31
159,Queens,QN18
160,Queens,QN29
161,Brooklyn,BK38
162,Brooklyn,BK35
163,Brooklyn,BK78
164,Bronx,BX27
165,Brooklyn,BK83
166,Queens,QN53
167,Brooklyn,BK60
168,Bronx,BX34
169,Bronx,BX39
170,Bronx,BX63
171,Staten Island,SI35
172,Staten Island,SI07
173,Staten Island,SI22
174,Brooklyn,BK79
175,Brooklyn,BK85
176,Brooklyn,BK76
177,Manhattan,MN20
178,Manhattan,MN22
179,Manhattan,MN23
180,Manhattan,MN01
181,Manhattan,MN35
182,Queens,QN47
183,Queens,QN49
184,Queens,QN60
185,Queens,QN99
186,Bronx,BX13
187,Bronx,BX99
188,Brooklyn,BK45
189,Brooklyn,BK82
190,Brooklyn,BK93
191,Brooklyn,BK73
192,Manhattan,MN28
193,Brooklyn,BK40
194,Brooklyn,BK99
